ingredient,action,reason
"10, 000 Ppb",EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
4.8% V,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Blue,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Caramel,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
High In Neuroscience,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Melanin,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Vit B5,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
"""water",EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
"1, 000 Ppb",EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Adds Glow,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Aligning With Vaseline's Heritage Of Inclusive,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Alum?nio Starch Octenylsuccinate,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Antibacterial,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Antioxidants,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Ascorbic Acid. 30ml,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Bio-energy Complex Technology,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Blue 1 (CI_COLOUR). B01865,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
CI_COLOUR (yellow 5),EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
D.m.water,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Deep Hydration,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Deeply Moisturizes,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Dry Skin Polyphenols,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Emollient,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Energy,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Found In Ghee,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Full Ingredients List: Aqua,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Hydrating,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Innovative,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Keeping It Hydrated And Soft,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Normalizes Keratinisation,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Plant-based Moisturisers,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Protects Against Sun Damage,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Pvp,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Red 4 (CI_COLOUR),EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Reduces Signs Of Tired,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
SPF 50+ PA,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Seboclear Mp,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Skin Barrier Arginine,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Skin Conditioning Agent,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Soothes,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Soothes Irritation,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Strengthens The Skin Barrier,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
This Advanced Formulation Enhances Moisture Retention,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Yellow 5 (CI_COLOUR),EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
Β-white,EXCLUDE,Explicitly excluded; do not consider for ingredient mapping or scoring
