Raw Ingredient,Product Count,Primary/Secondary,Candidate Canonical Ingredient,Mapping Basis,Decision,Reason,Resolution Status,Safe To Map,Domain Review Required,Remains Unresolved,Is Excluded,Products
Melanin,1,Primary,,EXCLUDED,EXCLUDED,"On the hard exclusion list; never mapped, never scored.",EXCLUDED,False,False,False,True,Roop-55
Glycerin,27,Primary/Secondary,Glycerin,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-09; Roop-10; Roop-26; Roop-28; Roop-31; Roop-33; Roop-34; Roop-47; Roop-48; Roop-49; Roop-50; Roop-52; Roop-55; Roop-65; Roop-66; Roop-69; Roop-71; Roop-72; Roop-73; Roop-75; Roop-76; Roop-77; Roop-78; Roop-84; Roop-85; Roop-86; Roop-92
Niacinamide,22,Primary/Secondary,Niacinamide,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-08; Roop-13; Roop-14; Roop-15; Roop-20; Roop-22; Roop-24; Roop-27; Roop-29; Roop-41; Roop-48; Roop-49; Roop-51; Roop-54; Roop-57; Roop-59; Roop-65; Roop-80; Roop-81; Roop-91; Roop-92; Roop-94
Panthenol,21,Primary/Secondary,Panthenol,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-06; Roop-07; Roop-13; Roop-15; Roop-17; Roop-19; Roop-20; Roop-23; Roop-24; Roop-29; Roop-39; Roop-41; Roop-48; Roop-49; Roop-56; Roop-58; Roop-59; Roop-69; Roop-77; Roop-83; Roop-88
Sodium Hyaluronate,20,Primary/Secondary,Sodium Hyaluronate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-01; Roop-02; Roop-06; Roop-07; Roop-08; Roop-12; Roop-18; Roop-19; Roop-20; Roop-25; Roop-30; Roop-36; Roop-37; Roop-59; Roop-76; Roop-78; Roop-79; Roop-92; Roop-93; Roop-94
Cocamidopropyl Betaine,11,Secondary,Cocamidopropyl Betaine,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-10; Roop-11; Roop-28; Roop-65; Roop-68; Roop-69; Roop-70; Roop-74; Roop-90; Roop-91; Roop-93
Uvinul A Plus,11,Secondary,Diethylamino Hydroxybenzoyl Hexyl Benzoate / DHHB / Uvinul A Plus,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-13; Roop-21; Roop-22; Roop-23; Roop-35; Roop-36; Roop-37; Roop-45; Roop-53; Roop-57; Roop-95
Ceramide NP,10,Primary/Secondary,Ceramide NP,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-05; Roop-15; Roop-16; Roop-23; Roop-30; Roop-39; Roop-59; Roop-81; Roop-82; Roop-94
Betaine,9,Secondary,Betaine,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-06; Roop-07; Roop-08; Roop-16; Roop-30; Roop-47; Roop-59; Roop-66; Roop-83
Uvinul T150,9,Secondary,Ethylhexyl Triazone / Uvinul T150,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-13; Roop-20; Roop-22; Roop-23; Roop-34; Roop-35; Roop-36; Roop-37; Roop-57
Allantoin,8,Secondary,Allantoin,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-03; Roop-06; Roop-07; Roop-08; Roop-11; Roop-27; Roop-47; Roop-83
Centella Asiatica,8,Primary/Secondary,Centella Asiatica,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-03; Roop-04; Roop-05; Roop-15; Roop-18; Roop-19; Roop-25; Roop-73
Tinosorb S,8,Secondary,Bemotrizinol / BEMT / Tinosorb S,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-09; Roop-34; Roop-35; Roop-36; Roop-45; Roop-53; Roop-55; Roop-95
Ceramide Complex,7,Primary/Secondary,Ceramide Complex,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-29; Roop-37; Roop-41; Roop-72; Roop-90; Roop-92; Roop-93
Hyaluronic Acid,7,Primary/Secondary,Hyaluronic Acid,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-16; Roop-29; Roop-39; Roop-50; Roop-52; Roop-54; Roop-82
Shea Butter,7,Primary/Secondary,Shea Butter,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-30; Roop-66; Roop-72; Roop-85; Roop-86; Roop-88; Roop-92
Hyaluronic Acid Complex,6,Primary/Secondary,Hyaluronic Acid Complex,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-13; Roop-57; Roop-58; Roop-75; Roop-81; Roop-88
Sodium Lauroyl Sarcosinate,6,Secondary,Sodium Lauroyl Sarcosinate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-51; Roop-65; Roop-74; Roop-75; Roop-90; Roop-91
Sodium Methyl Cocoyl Taurate,6,Secondary,Sodium Methyl Cocoyl Taurate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-04; Roop-10; Roop-40; Roop-51; Roop-69; Roop-82
Squalane,6,Primary/Secondary,Squalane,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-02; Roop-05; Roop-16; Roop-81; Roop-87; Roop-89
Avobenzone,5,Secondary,Avobenzone,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-14; Roop-20; Roop-37; Roop-46; Roop-54
Dimethicone,5,Primary/Secondary,Dimethicone,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-21; Roop-53; Roop-84; Roop-86; Roop-95
Octinoxate,5,Secondary,Octinoxate / Ethylhexyl Methoxycinnamate / OMC,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-09; Roop-21; Roop-45; Roop-46; Roop-95
